"","WBA.Close","XOM.Close","JNJ.Close","JPM.Close","VZ.Close","UTX.Close","INTC.Close","AXP.Close","MMM.Close","MCD.Close","CSCO.Close","PFE.Close","DWDP.Close","V.Close","CVX.Close","CAT.Close","MRK.Close","MSFT.Close","TRV.Close","NKE.Close","KO.Close","PG.Close","WMT.Close","DIS.Close","UNH.Close","GS.Close","AAPL.Close","HD.Close","BA.Close","IBM.Close"
"27",85.629997,81.610001,126.209999,91.279999,49.349998,112.139999,35.91,79.379997,191.210007,127.980003,34.259998,34.110001,63.84,89.730003,110.610001,92.309998,65.599998,64.93,122.830002,56.43,42.290001,91.07,70.099998,110.919998,169.979996,248.380005,139.139999,146.850006,178.699997,177.830002
"28",85.610001,81.419998,126.68,91.360001,49.470001,112.309998,35.16,79.209999,191.520004,127.610001,34.099998,34.110001,64.110001,90.110001,109.349998,92.639999,64.150002,64.709999,122.150002,56.669998,42.029999,91.309998,69.949997,111.519997,170.210007,248.160004,139.199997,147.429993,179.050003,176.460007
"29",85.400002,80.989998,127.050003,91.510002,49.360001,111.830002,35.18,79.690002,190.330002,127.800003,34.119999,34.220001,63.68,89.550003,107.360001,91.860001,64.199997,64.410004,122.620003,57.279999,41.970001,91,70.720001,112.309998,169.059998,247.720001,138.990005,147.160004,178.729996,175.720001
"30",85.800003,82,128.960007,91.730003,50.139999,113.080002,35.099998,79.230003,191.199997,127.879997,34.240002,34.630001,64.440002,89.919998,108.879997,93.360001,64.699997,64.75,122.989998,57.66,42.119999,91.400002,70.580002,111.870003,171.779999,246.779999,140.460007,147.949997,178.710007,175.809998
"31",85.669998,82.07,128.460007,91.639999,50.040001,112.339996,35.139999,79.769997,190.309998,127.980003,34.23,34.43,63.860001,90.040001,107.860001,92.849998,64.18,64.639999,122.739998,57.599998,42.25,91.440002,70.440002,111.709999,171.300003,248.220001,140.690002,148.729996,178.190002,177.240005
"32",85.910004,82,128.059998,90.68,50.389999,113.449997,35.27,79.25,192.360001,128.639999,34.23,34.32,64.029999,90.239998,107.68,92.910004,63.900002,64.870003,123.139999,57.799999,42.029999,91,69.889999,111.760002,169.699997,243.940002,139.990005,149.600006,180.100006,175.649994
"33",84.629997,82,128.070007,90.029999,50.240002,113.510002,35.43,78.849998,193.009995,128.779999,34.279999,34.380001,64.5,89.18,107.660004,95.400002,64.110001,64.93,122.360001,58.68,42.18,91.220001,69.980003,112.709999,168,242.139999,141.460007,147.800003,179.389999,175.699997
"34",83.209999,81.830002,127.25,87.389999,50.16,112.160004,35.040001,77.529999,192.130005,128.520004,33.880001,34.25,63.080002,88.059998,108.040001,92.43,63.91,64.209999,121.690002,58.009998,42.5,91.190002,69.900002,111.75,167.699997,233,139.839996,146.610001,175.960007,173.880005
"35",83.029999,81.760002,126.260002,87.529999,49.709999,111.93,35.369999,77.669998,192.220001,129.100006,34.099998,34.470001,62.790001,88.519997,108.389999,92.43,63.5,65.029999,122.029999,53.919998,42.380001,90.989998,70.25,112.080002,167.029999,231.070007,141.419998,147.360001,176.979996,174.779999
"36",82.980003,81.860001,125.900002,87.389999,49.639999,111.839996,35.27,77.839996,192.139999,129,33.959999,34.290001,63.830002,88.860001,107.870003,92.230003,63.279999,64.870003,121.290001,55.369999,42.169998,90.769997,69.860001,112.239998,165.289993,231.899994,140.919998,147.990005,177.259995,174.820007
"37",82.970001,81.230003,125.480003,87.290001,49.68,111.800003,35.16,78.199997,191.509995,129.339996,34.080002,34,63.080002,89.190002,107.989998,92.150002,63.18,64.980003,120.769997,56.360001,42.119999,90.57,69.610001,112.139999,165,228.410004,140.639999,147.710007,175.820007,173.830002
"38",83.559998,81.25,125.800003,87.239998,49.139999,111.830002,35.389999,77.599998,190.429993,129.490005,33.990002,34.18,64.019997,88.949997,106.279999,91.510002,63.189999,65.099998,121.010002,55.93,42.32,90.489998,69.660004,112.379997,164.600006,225.479996,140.880005,146.869995,176.100006,173.770004
"39",83.739998,81.839996,125.660004,88.599998,49.299999,112.739998,35.599998,78.639999,190.990005,129.449997,34.02,34.16,65,89.120003,107.169998,92.949997,63.34,65.290001,121.800003,56.619999,42.43,90.760002,70.32,113.050003,165.350006,229.330002,143.800003,147.199997,177.360001,174.509995
